title,price,storeName,rating,description
"NOKIA 105 KING 2019 GARANSI RESMI TAM - Hitam",Rp220.000,"Garden Cell Official",5,"Nokia 105 king #DS TA1174 2019 GARANSI RESMI NOKIA SATU THN RUSAK DI GANTI BARU- Layar 1,8 inch- Dual Sim- Pnyimpanan kontak sampai 2000- Led Torch- FM Radio- USB Micro Connector#nokia105KING#nokia105new#nokia105new2019#nokia105baru"
"Nokia 105 New (2019) Garansi Resmi - Biru",Rp220.000,Gudang-HP,4.9,"Ready Stock Black, Blue, Red *25 Maret 2021NETWORK Technology GSMSIM Dual SIM (Mini-SIM, dual stand-by)Size 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)MEMORY Card slot NoInternal 4MB 4MB RAMCAMERA NoBATTERY Removable Li-Ion 800 mAh battery"
"Nokia 105 King (2019) Garansi Resmi TAM",Rp221.000,"LJS OFFICIAL",4.9,"NETWORK TechnologyGSM 2G bands GSM 900 / 1800 - SIM1 & SIM2 (dual-SIM model only)GPRS NoEDGE NoLAUNCHBODY Dimensions 119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in)Weight 73 g (2.57 oz)SIM Dual SIM (Mini-SIM, dual stand-by)DISPLAYType TFT, 65K colorsSize 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)Resolution 120 x 160 pixels, 4:3 ratio (~113 ppi density)MEMORY Card slot NoPhonebook : YesCall records: YesInternal 4MB RAM 4MBCAMERA: NoSOUNDLoudspeaker : Yes3.5mm jack YesCOMMSWLAN: NoBluetooth: NoGPS: NoRadio : FM radioUSB microUSB 1.1 (charging only)FEATURESMessaging SMSBrowser NoGames YesJava NoBATTERYRemovable Li-Ion 800 mAh batteryStand-by Up to 619 hTalk time Up to 14 h 24 minMISC"
"NOKIA 105 NEO DUAL SIM GARANSI RESMI - PINX KING TAM",Rp223.000,"BukanKalengKaleng Shop",4.8,"100% Garansi resmi Nokia indonesia 1 tahun100% asli dan baruRESMI IMEI Sudah Terdaftar (cek Imei: http://kemenperin•go•id/imei/ ) Jadi saat hp diaktifkan/dipakai otomatis GARANSI Berlaku.Warna akan dikirim sesuai stock yang tersedia (black; blue)NETWORK TechnologyGSMSIM Dual SIM (Mini-SIM, dual stand-by)Size 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)MEMORY Card slot NoInternal 4MB 4MB RAMCAMERA NoBATTERY Removable Li-Ion 800 mAh battery"
"Xiaomi Official Redmi Note 9 6/128 GB Garansi Resmi Mi Smartphone - Forest Green",Rp2.499.000,"Xiaomi Official Store",4.9,"Ayo, Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMARKeunggulan:1. Kamera quad level hotshot 48MP2. Prosesor tangguh Helio G853. Pengisian daya cepat, baterai ultra besar4. Desain layar DotDisplay tanpa notch5. Lapisan nano tahan percikan di bagian belakang6. Dokumen scannerTersedia dalam warna:- Forest Green- Midnight Grey- Polar WhiteSpesifikasiRAM : 4/6GBMemory : 64/128GBJaringan : GSM / WCMA / LTEUkuran Layar : 6.53"""" FHD+ IPS DotDisplay (83.5% rasio bodi ke layar)Layar : Gorilla Glass 5 depan dan belakangResolusi Layar : 2340x1080, 19.5:9 Aspect RatioSistem Operasi: Android 10, MIUI 11Chipset: Helio G85 (12nm)CPU : Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)Kamera : 48MP + 8MP + 2MP + 2MP quad kamera belakangKamera Depan : 16MP in-display kamera selfie HDRVideo : 1080p @ 30fps, 720p @120fpsBaterai : 5,020mAh (typ) baterai berkapasitas besarPengisian Daya : Fast Charging hingga 18WUSB : 2.0, Type-C 1.0 konektor yang dapat dibalik3.5 Headphone Jack : YaWi-Fi : Wi-Fi 802.11 a/b/g/n/acSensor : Sensor sidik jari di bagian belakangDimensi : 162.3 x 77.2 x 8.9 mm, 199 g"
"Xiaomi Official Redmi 9 4/64 GB Garansi Resmi Mi Smartphone - Ocean Green",Rp1.798.000,"Xiaomi Official Store",4.9,"Claim voucher (3% hingga 200RB) duluan, code: XIAOMIMAR8MP Lensa ultra wide-angle13MP lensa wide-angle2MP Sensor Depth5MP lensa makroPERLUAS WAWASAN ANDALayar Full HD Dot Drop Display 6.53""dengan resolusi 2340x1080 layar depan dilengkapi corning Gorila Glass 3 memastikan pengalaman visual yang mendalam dan memberikan pandangan yang jelas tentang dunia di sekitar Anda.LEBIH BANYAK KEUNGGULAN YANG DAPAT ANDA NIKMATIKinerja yang kuat & stabil dengan prosesor Helio G80, CPU Octa-Core Up To 2.0 GHz multitasking yang lancar dan pengalaman audiovisual dan game yang brilian. Peningkatan kinerja 107% dibandingkan dengan generasi sebelumnya.PENGISIAN DAYA CEPAT, BATERAI BESAR, TIDAK PERNAH TAKUT KEHABISAN DAYADengan kapasitas baterai 5020mAh seperti powerbank dan teknologi fast charging 18W, Anda dapat menghabiskan waktu untuk menonton film, bermain game, atau menelepon, memberikan daya tahan yang Anda butuhkan.TIGA PILIHAN WARNAPilih Sesuai GayamuCarbon Grey, Ocean Green, Sunset PurpleFitur detil yang membuat pengguna lebih nyaman:2+1 SIM SlotOS : Android 10 / MIUI 11Bluetooth 5.0Mikrofon dengan peredam suara bising3.5 mm Headphone jackIR remote untuk kontrol peralatan rumah andaKonektor USB type-C yang dapat dibalik"""" SpesifikasiRAM : 3GB / 4GBKapasitas Penyimpanan : 32GB / 64GBWarna : Carbon Grey, Ocean Green, Sunset PurpleTampilan Layar6.53"""" FHD + Dot Drop DisplayLayar Depan Gorilla Glass 32340x1080, 1500:1 Color Contrast RatioPerformaChipset: Mediatek Helio G80CPU : Octa-core CPU, up to 2.0 GHzLPDDR4X RAM, eMMC 5.1 storageKameraKamera Belakang : 8MP Lensa ultra wide-angle 13MP lensa wide-angle 2MP Sensor Depth 5MP lensa makro8MP selfie cameraBateraiBattery: 5020mAh (typ) mendukung pengisian cepat 18WKonektivitasUSB : Type-CSIM : 2+1 SIM SlotOS System: Android 10, MIUI 11Jaringan : GSM / WCDMA / LTE Dual 4G Standby"
"Nokia 105 King (2019) Garansi Resmi TAM - Hitam",Rp221.000,"Senjaya Selindo",4.9,"NETWORK TechnologyGSM 2G bands GSM 900 / 1800 - SIM1 & SIM2 (dual-SIM model only)GPRS NoEDGE NoLAUNCHBODY Dimensions 119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in)Weight 73 g (2.57 oz)SIM Dual SIM (Mini-SIM, dual stand-by)DISPLAYType TFT, 65K colorsSize 1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)Resolution 120 x 160 pixels, 4:3 ratio (~113 ppi density)MEMORY Card slot NoPhonebook : YesCall records: YesInternal 4MB RAM 4MBCAMERA: NoSOUNDLoudspeaker : Yes3.5mm jack YesCOMMSWLAN: NoBluetooth: NoGPS: NoRadio : FM radioUSB microUSB 1.1 (charging only)FEATURESMessaging SMSBrowser NoGames YesJava NoBATTERYRemovable Li-Ion 800 mAh batteryStand-by Up to 619 hTalk time Up to 14 h 24 minMISC"
"SAMSUNG GALAXY J2 PRIME SM-G532G/DS 1.5GB/8GB GARANSI RESMI - Putih",Rp1.999.000,"Humaira Online",4.9,"PRODUK YANG DIJUAL DAN DIKIRIMKAN ADALAH BARU (BNIB), SEGEL DAN WRAPPING ASLI SEIN, JIKA ADA KENDALA MAKA SILAKAN CLAIM LANGSUNG KE SERVICE CENTER SAMSUNG.SILAKAN ORDER SESUAI VARIAN WARNA APABILA MEMILIH WARNA ""RANDOM"" PEMBELI TIDAK BISA MEMILIH VARIAN WARNA YANG DIINGINKAN.Fitur utama dari Samsung Galaxy J2 Prime:- Processor Quad Core A53 1.4Ghz- Sophisticated & sleek design- Dual Camera 8 MP & 5 MP with Flash- Ultra Data Saving- 4G LTE- Android Marshmallow- Dual SIMSpesifikasi:- Display : 5 inch qHD TFT LCD- Processor : Quad Core A53 1.4Ghz- OS : Android Marshmallow- Kamera : 8 MP Rear Camera (f2.2) with Flash & 5 MP Front Camera (f2.2) with Flash- RAM : 1.5 GB- Memory Internal : 8 GB MicroSD Up to 128GB- Sensors Accelerometer, proximity- WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot- Bluetooth v4.2, A2DP, LE- GPS with A-GPS- Radio FM radio, RDS, recording- USB microUSB v2.0, USB On-The-Go- Sound : Alert types Vibration; MP3, WAV ringtones Loudspeaker 3.5mm jack- Battery : 2,600 mAH- Dimension : 144.8 x 72.1 x 8.7"
"Xiaomi Redmi Note 9 4/64 GB Garansi Resmi - Hijau",Rp2.102.000,Gudang-HP,4.9,"Ready Stok Red, Green, Black *14 April 2021Tambahan extra bubble dan kardushttps://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packingSIM Dual SIM (Nano-SIM, dual stand-by)Size 6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio)PLATFORM OS Android 10, MIUI 11Chipset MediaTek Helio G85 (12nm)CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)GPU Mali-G52 MC2Internal 64GB 4GB RAMMAIN CAMERA Quad 48 MP, 8 MP, 2 MP,2 MP, SELFIE CAMERA Single 13 MP, BATTERY Non-removable Li-Po 5020 mAh batteryCharging Fast charging 18W"
"Samsung Galaxy J2 Prime Garansi Resmi 1 Tahun - SECOND LENGKAP",Rp999.000,"JKT Official Store",4.9,"ADA SECOND KOMPLITE(AMAN) GRESSREADY STOCK TERBATAS(Garansi 1 Minggu)Samsung J2 Prime, Baru 100%Garansi resmi SEIN 1 TahunSegel Ori ~ Plastik Samsung ~ No PenyokReady: Black - Gold - Silver (Random)Selagi Masih Iklan Ready ya Bosku""Gojek grab Dari Jam 11.00 - 17.00Jnt Jne Sampai Jam 20.00Siap Luncur TKPJgn lupa Bintang & Smile ya Bosku.SABTU MINGGU TETAP GASS....Paketan Akan Dikirim Sesuai AntrianMohon Sabar ya MenungguTersedia All Tipe Ready - Anti Gores Kaca - glas kaca 5D - Full layar https://tokopedia.link/riKONN5I2V Beli Softcase Hp / Silicon Hp / Pelindung Hp / Kesing Hp All Tipe https://tokopedia.link/fAm9SJZJ2V Beli Bubble Wrap For Safety Packaging / Perlindungan Tambahan Paking Aman https://tokopedia.link/eWHyya4TfW Spesifikasi :Dual SIMSupport 4G LTECPU : Quad Core 1,4GhZLayar TFT LCD 5inc (540x960 pixels) Internal : 8 GBRAM :1,5 GBMicro SD : up to 250GBKamera utama : 8MP, autofocus, LED FlashKamera depan : 5MP, LED FlashBaterai : 2600mAh"
